No,명칭,원문,주소,정규화주소,위도(lat),경도(lng),매칭주소,도로명주소,지번주소,네이버지도검색URL,상태,비고,중복여부
30,,전남 영암군 삼호읍 서호리 780-9,전남 영암군 삼호읍 서호리 780-9,전라남도 영암군 삼호읍 서호리 780-9,34.7400608937125,126.497981197171,전남 영암군 삼호읍 서호리 780-9,,전남 영암군 삼호읍 서호리 780-9,https://map.naver.com/p/search/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EC%98%81%EC%95%94%EA%B5%B0%20%EC%82%BC%ED%98%B8%EC%9D%8D%20%EC%84%9C%ED%98%B8%EB%A6%AC%20780-9,성공,,
31,,강원 삼척시 근덕면 하맹방리 산33-3,강원 삼척시 근덕면 하맹방리 산33-3,강원특별자치도 삼척시 근덕면 하맹방리 산33-3,37.3914176631049,129.215536761102,강원특별자치도 삼척시 근덕면 하맹방리 산 33-3,강원특별자치도 삼척시 근덕면 동해대로 3321,강원특별자치도 삼척시 근덕면 하맹방리 산 33-3,https://map.naver.com/p/search/%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84%20%EC%82%BC%EC%B2%99%EC%8B%9C%20%EA%B7%BC%EB%8D%95%EB%A9%B4%20%ED%95%98%EB%A7%B9%EB%B0%A9%EB%A6%AC%20%EC%82%B033-3,성공,,
32,,경북 경주시 안강읍 옥산리 464-7,경북 경주시 안강읍 옥산리 464-7,경상북도 경주시 안강읍 옥산리 464-7,,,,,,https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EA%B2%BD%EC%A3%BC%EC%8B%9C%20%EC%95%88%EA%B0%95%EC%9D%8D%20%EC%98%A5%EC%82%B0%EB%A6%AC%20464-7,실패,검색결과 없음,
33,,충남 논산시 연산면 송정리 산31-2,충남 논산시 연산면 송정리 산31-2,충청남도 논산시 연산면 송정리 산31-2,36.2294062282475,127.22748239624,충남 논산시 연산면 송정리 산 31-2,,충남 논산시 연산면 송정리 산 31-2,https://map.naver.com/p/search/%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84%20%EB%85%BC%EC%82%B0%EC%8B%9C%20%EC%97%B0%EC%82%B0%EB%A9%B4%20%EC%86%A1%EC%A0%95%EB%A6%AC%20%EC%82%B031-2,성공,,
34,,경기 광주시 남한산성면 상번천리 622-1,경기 광주시 남한산성면 상번천리 622-1,경기도 광주시 남한산성면 상번천리 622-1,37.4395694531683,127.262900086094,경기 광주시 남한산성면 상번천리 622-1,,경기 광주시 남한산성면 상번천리 622-1,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B4%91%EC%A3%BC%EC%8B%9C%20%EB%82%A8%ED%95%9C%EC%82%B0%EC%84%B1%EB%A9%B4%20%EC%83%81%EB%B2%88%EC%B2%9C%EB%A6%AC%20622-1,성공,,
35,,충남 공주시 정안면 화봉리 11-4,충남 공주시 정안면 화봉리 11-4,충청남도 공주시 정안면 화봉리 11-4,36.5423850945062,127.118997770346,충남 공주시 정안면 화봉리 11-4,충남 공주시 정안면 차령로 2833,충남 공주시 정안면 화봉리 11-4,https://map.naver.com/p/search/%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84%20%EA%B3%B5%EC%A3%BC%EC%8B%9C%20%EC%A0%95%EC%95%88%EB%A9%B4%20%ED%99%94%EB%B4%89%EB%A6%AC%2011-4,성공,,
36,,경기 구리시 아천동 265-2,경기 구리시 아천동 265-2,경기도 구리시 아천동 265-2,37.565130767896,127.115731320749,경기 구리시 아천동 265-2,,경기 구리시 아천동 265-2,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B5%AC%EB%A6%AC%EC%8B%9C%20%EC%95%84%EC%B2%9C%EB%8F%99%20265-2,성공,,
37,,세종 금남면 발산리 151-2,세종 금남면 발산리 151-2,세종특별자치시 금남면 발산리 151-2,36.4497470704244,127.285910832048,세종특별자치시 금남면 발산리 151-2,,세종특별자치시 금남면 발산리 151-2,https://map.naver.com/p/search/%EC%84%B8%EC%A2%85%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EC%8B%9C%20%EA%B8%88%EB%82%A8%EB%A9%B4%20%EB%B0%9C%EC%82%B0%EB%A6%AC%20151-2,성공,,
38,,인천 중구 항동3가 29,인천 중구 항동3가 29,인천광역시 중구 항동3가 29,37.4717235769263,126.618964497289,인천 중구 항동3가 29,,인천 중구 항동3가 29,https://map.naver.com/p/search/%EC%9D%B8%EC%B2%9C%EA%B4%91%EC%97%AD%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%ED%95%AD%EB%8F%993%EA%B0%80%2029,성공,,
39,,경북 포항시 북구 송라면 화진리 511-3,경북 포항시 북구 송라면 화진리 511-3,경상북도 포항시 북구 송라면 화진리 511-3,36.247354673638,129.370398399542,경북 포항시 북구 송라면 화진리 511-3,경북 포항시 북구 송라면 동해대로 3188,경북 포항시 북구 송라면 화진리 511-3,https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%ED%8F%AC%ED%95%AD%EC%8B%9C%20%EB%B6%81%EA%B5%AC%20%EC%86%A1%EB%9D%BC%EB%A9%B4%20%ED%99%94%EC%A7%84%EB%A6%AC%20511-3,성공,,중복
